Date,TMax,TMin,Prcp
1951-06-08,71.8823531,33.8303545,0.0000000
1951-06-09,75.9503535,34.9643544,0.0000000
1951-06-10,80.8643561,38.9963544,0.0000000
1951-06-11,77.8403555,44.9723543,0.0000000
1951-06-12,76.7963557,50.4983546,0.0000000
1951-06-13,80.8463557,39.8603549,0.0000000
1951-06-14,87.8123538,52.6583542,0.0000000
1951-06-15,90.8543547,52.0103549,0.0000000
1951-06-16,88.7123538,45.0983546,0.0000000
1951-06-17,82.8803542,43.0463548,0.0000000
1951-06-18,84.7883532,43.9103549,0.0000000
1951-06-19,85.8143561,41.0123546,0.0000000
1951-06-20,84.7703528,44.9003543,0.0000000
1951-06-21,81.7823531,41.9663541,0.0000000
1951-06-22,81.7643561,37.8083542,0.0000000
1951-06-23,81.8183539,39.9323548,0.0000000
1951-06-24,77.8583560,39.8243545,0.0000000
1951-06-25,79.8743540,43.9283544,0.0000000
1951-06-26,84.6983546,42.9563545,0.0000000
1951-06-27,85.8683539,43.0283544,0.0000000
1951-06-28,87.8483546,44.1803542,0.0000000
1951-06-29,87.7943533,46.1423544,0.0000000
1951-06-30,88.8743540,49.8503552,0.0000000
1951-07-01,84.6941591,47.7401596,0.0000000
1951-07-02,85.8281611,39.8741607,0.0000000
1951-07-03,83.7401613,41.9621604,0.0000000
1951-07-04,81.7781611,36.8141602,0.0000000
1951-07-05,75.7121595,45.5261604,0.0000000
1951-07-06,75.8021616,32.9441604,0.0000000
1951-07-07,82.7321589,38.9021603,0.0000000
1951-07-08,84.7481604,40.9361601,0.0000000
1951-07-09,83.8841612,43.9061603,0.0000000
